question_id,question,reference,context,our_answer_wo_context,our_answer_w_context,is_correct_wo_context,is_correct_w_context
2hop__96137_62765,Who did the cast member of The Woman in the Window play in the Ten Commendments?,Dathan,"The Ten Commandments is a 1956 American epic religious drama film produced, directed, and narrated by Cecil B. DeMille, shot in VistaVision (color by Technicolor), and released by Paramount Pictures. The film is based on Prince of Egypt by Dorothy Clarke Wilson, Pillar of Fire by J.H. Ingraham, On Eagle's Wings by A.E. Southon, and the Book of Exodus. The Ten Commandments dramatizes the biblical story of the life of Moses, an adopted Egyptian prince who becomes the deliverer of his real brethren, the enslaved Hebrews, and therefore leads the Exodus to Mount Sinai, where he receives, from God, the Ten Commandments. The film stars Charlton Heston in the lead role, Yul Brynner as Rameses, Anne Baxter as Nefretiri, Edward G. Robinson as Dathan, Yvonne De Carlo as Sephora, Debra Paget as Lilia, and John Derek as Joshua; and features Sir Cedric Hardwicke as Sethi, Nina Foch as Bithiah, Martha Scott as Yoshebel, Judith Anderson as Memnet, and Vincent Price as Baka, among others.
The Woman in the Window is a 1944 American film noir directed by Fritz Lang and starring Edward G. Robinson, Joan Bennett, Raymond Massey, and Dan Duryea. It tells the story of psychology professor Richard Wanley (Edward G. Robinson) who meets and becomes enamored with a young femme fatale.",Amy Adams,Edward G. Robinson played Dathan in The Ten Commandments.,0,1
2hop__49887_573255,Who is the spouse of the first king chosen to rule over the Israelites?,Ahinoam,"Adherents of source criticism suggest that references to a woman called ""Ahinoam"" being Saul's wife belong to the account of the ""republican source"" of the Books of Samuel, while in the passages ascribed to the ""monarchial source"", the only mention of a woman called ""Ahinoam"" is the description of her as a wife of David.
Saul (/ sɔːl /; Hebrew: שָׁאוּל, Šāʼûl; ``asked for, prayed for ''; Latin: Saul; Arabic: طالوت ‎ ‎, Ṭālūt or Arabic: شاؤل ‎ ‎, Sha'ūl), according to the Hebrew Bible, was the first king of the Kingdom of Israel and Judah. His reign, traditionally placed in the late 11th century BCE, marked a transition from a tribal society to statehood.",Joshua,David.,0,0
4hop1__89530_624859_355213_203322,"What county shares a border with the other county, that contains the city, where the singer of Hungry Eyes in the movie Dirty Dancing, was born?",Cabarrus County,"The Definitive Collection is a 1997 greatest hits compilation album of all the singles released by Cleveland, Ohio singer-songwriter Eric Carmen. It features five hits by the Raspberries, a power pop group which he led in the early 1970s. It also contains his versions of two major hits which he wrote for Shaun Cassidy, two popular songs from the movie ""Dirty Dancing"", and his greatest hit, ""All By Myself"".
Cleveland is a town in the Cleveland Township of Rowan County, North Carolina, United States. The population was 871 at the 2010 census.
``Hungry Eyes ''is a song performed by American artist Eric Carmen, a former member of the band Raspberries, and was featured in the film Dirty Dancing (1987). The song was recorded at Beachwood Studios in Beachwood, Ohio in 1987.`` Hungry Eyes'' peaked at # 4 on the Billboard Hot 100 chart and # 3 on the Cash Box Top 100 in 1988. The power ballad was not released commercially in the UK, but it managed to peak at # 82 in January 1988, having charted purely on import sales.
Gold Hill is a small unincorporated community in southeastern Rowan County, North Carolina near the Cabarrus County line. It is situated near the Yadkin River and is served by U.S. Highway 52 and Old Beatty Ford Road. Gold was found in this small town outside Salisbury in the 19th century.",Patrick Swayze,Rowan County.,0,0
2hop__80070_89752,What is the largest state in the region where the Handmaid's Tale takes place?,Maine,"The Handmaid's Tale is a 1985 dystopian novel by Canadian author Margaret Atwood. Set in a near - future New England, in a totalitarian, Christian theonomy that has overthrown the United States government, the novel explores themes of women in subjugation and the various means by which they gain individualism and independence. The novel's title echoes the component parts of Geoffrey Chaucer's The Canterbury Tales, which is a series of connected stories (``The Merchant's Tale '',`` The Parson's Tale'', etc.).
The states of New England have a combined area of 71,991.8 square miles (186,458 km), making the region slightly larger than the state of Washington and larger than England. Maine alone constitutes nearly one - half of the total area of New England, yet is only the 39th - largest state, slightly smaller than Indiana. The remaining states are among the smallest in the U.S., including the smallest state -- Rhode Island.",Massachusetts,Maine is the largest state.,0,1
2hop__59133_512508,What undertaking included the person who discovered that the number of protons in each element's atoms is unique?,Manhattan Project,"All consideration of nuclear electrons ended with James Chadwick's discovery of the neutron in 1932. An atom of gold now was seen as containing 118 neutrons rather than 118 nuclear electrons, and its positive charge now was realized to come entirely from a content of 79 protons. After 1932, therefore, an element's atomic number Z was also realized to be identical to the proton number of its nuclei.
During the Second World War, Chadwick carried out research as part of the Tube Alloys project to build an atomic bomb, while his Manchester lab and environs were harassed by Luftwaffe bombing. When the Quebec Agreement merged his project with the American Manhattan Project, he became part of the British Mission, and worked at the Los Alamos Laboratory and in Washington, D.C. He surprised everyone by earning the almost-complete trust of project director Leslie R. Groves, Jr. For his efforts, Chadwick received a knighthood in the New Year Honours on 1 January 1945. In July 1945, he viewed the Trinity nuclear test. After this, he served as the British scientific advisor to the United Nations Atomic Energy Commission. Uncomfortable with the trend toward Big Science, Chadwick became the Master of Gonville and Caius College in 1948. He retired in 1959.",Atomic weights.,The Manhattan Project.,0,1
4hop1__364476_439408_131976_90181,"What is the deepest part of the ocean, near the state, where the county that holds the city of Winchester is found?",Milwaukee Deep,"The Puerto Rico Trench is located on the boundary between the Caribbean Sea and the Atlantic Ocean. The oceanic trench is associated with a complex transition between the Lesser Antilles subduction zone to the south and the major transform fault zone or plate boundary, which extends west between Cuba and Hispaniola through the Cayman Trench to the coast of Central America. The trench is 800 kilometres (497 mi) long and has a maximum depth of 8,648 metres (28,373 ft) or 5.373 miles at Milwaukee Deep, which is the deepest point in the Atlantic Ocean and the deepest point not in the Pacific Ocean.
Winchester is a city in and the county seat of Scott County, Illinois, United States. The population was 1,650 at the 2000 census. Winchester is part of the Jacksonville Micropolitan Statistical Area.
Virginia has a total area of , including of water, making it the 35th-largest state by area. Virginia is bordered by Maryland and Washington, D.C. to the north and east; by the Atlantic Ocean to the east; by North Carolina to the south; by Tennessee to the southwest; by Kentucky to the west; and by West Virginia to the north and west. Virginia's boundary with Maryland and Washington, D.C. extends to the low-water mark of the south shore of the Potomac River. The southern border is defined as the 36° 30′ parallel north, though surveyor error led to deviations of as much as three arcminutes. The border with Tennessee was not settled until 1893, when their dispute was brought to the U.S. Supreme Court.
The Daniel Dean Trial of Scott County, Virginia was a trial that took place in the town of Estiville (Gate City), Virginia in July 1877. What makes this trial unique is that it was the first and only time that an individual was convicted of murder in the state of Virginia based solely on circumstantial evidence.",Chesapeake Bay,Milwaukee Deep.,0,1
2hop__13731_801817,Where was Mary's betrothed born?,Nazareth,"The Sisters of Saint Joseph of Nazareth, also called simply the Sisters of St Joseph or Josephites (""Black Josephites""), are a religious congregation who have their main centre in Whanganui, New Zealand. The congregation was a member of the Federation of the Sisters of St. Joseph which disbanded in 2013. The Sisters of St Joseph Whanganui received the Decree of Fusion with the Sisters of St Joseph of the Sacred Heart on 22 February 2013.
According to the apocryphal Gospel of James, Mary was the daughter of Saint Joachim and Saint Anne. Before Mary's conception, Anne had been barren and was far advanced in years. Mary was given to service as a consecrated virgin in the Temple in Jerusalem when she was three years old, much like Hannah took Samuel to the Tabernacle as recorded in the Old Testament. Some apocryphal accounts state that at the time of her betrothal to Joseph, Mary was 12–14 years old, and he was thirty years old, but such accounts are unreliable.",I don't have enough information about Mary's betrothed.,The text does not mention where Joseph was born.,0,0
2hop__68158_189357,Where was the first female supreme court justice educated?,Stanford University,"Harry John Rathbun was a Professor of Business Law at Stanford University who had a profound influence on a generation of students, with former Supreme Court Justice Sandra Day O'Connor crediting him with being the key intellectual and spiritual influence in her life.
Sandra Day O'Connor (born March 26, 1930) is a retired Associate Justice of the Supreme Court of the United States, who served from her appointment in 1981 by Ronald Reagan until her retirement in 2006. She is the first woman to serve on the Court.","Sandra Day O'Connor, 1st female SCJ, attended Stanford University.",I do not know.,1,0
2hop__13539_13493,"In 2009, what series of wins did the team who won the first match in the 1943 Copa del Generalissimo achieve?",continental treble,"In 1943, Barcelona faced rivals Real Madrid in the semi-finals of Copa del Generalísimo (now the Copa del Rey). The first match at Les Corts was won by Barcelona 3–0. Real Madrid comfortably won the second leg, beating Barcelona 11–1. According to football writer Sid Lowe, ""There have been relatively few mentions of the game [since] and it is not a result that has been particularly celebrated in Madrid. Indeed, the 11–1 occupies a far more prominent place in Barcelona's history."" It has been alleged by local journalist Paco Aguilar that Barcelona's players were threatened by police in the changing room, though nothing was ever proven.
Barcelona is one of three founding members of the Primera División that have never been relegated from the top division, along with Athletic Bilbao and Real Madrid. In 2009, Barcelona became the first Spanish club to win the continental treble consisting of La Liga, Copa del Rey, and the UEFA Champions League, and also became the first football club to win six out of six competitions in a single year, completing the sextuple in also winning the Spanish Super Cup, UEFA Super Cup and FIFA Club World Cup. In 2011, the club became European champions again and won five trophies. This Barcelona team, which reached a record six consecutive Champions League semi-finals and won 14 trophies in just four years under Pep Guardiola, is considered by some in the sport to be the greatest team of all time. In June 2015, Barcelona became the first European club in history to achieve the continental treble twice.",I couldn't find any information about the Copa del Generalissimo in 1943,The continental treble.,0,1
4hop1__444892_32392_823060_610794,In what county is the city that shares a border with the capital of the state where Levi Casey was born?,Richland County,"Forest Acres is a city in Richland County, South Carolina, United States. The population was 10,361 at the 2010 census. It is part of the Columbia, South Carolina, Metropolitan Statistical Area.
WWNQ is a radio station licensed to Forest Acres, South Carolina, serving the Columbia, South Carolina market. Owned by Midlands Media Group LLC, the station broadcasts a country music format branded as 94.3 The Dude.
Casey was a member of the South Carolina Senate in 1781 and 1782 and 1800–1802 and a member of the South Carolina House of Representatives 1786–1788, 1792–1795 and 1798–1799. He was elected as a Republican to the Eighth and Ninth Congresses and served from March 4, 1803, until his death, before the close of the Ninth Congress. Prior to dying, he had been reelected to the Tenth Congress. He died in Washington, D.C., February 3, 1807 and was buried in the Congressional Cemetery.
Although the city lost the status of state capital to Columbia in 1786, Charleston became even more prosperous in the plantation-dominated economy of the post-Revolutionary years. The invention of the cotton gin in 1793 revolutionized the processing of this crop, making short-staple cotton profitable. It was more easily grown in the upland areas, and cotton quickly became South Carolina's major export commodity. The Piedmont region was developed into cotton plantations, to which the sea islands and Lowcountry were already devoted. Slaves were also the primary labor force within the city, working as domestics, artisans, market workers, and laborers.",I don't have information about Levi Casey.,Richland County.,0,1
2hop__54651_169233,What award did the singer of Never Had a Friend Like Me in Aladdin receive?,Academy Award for Best Supporting Actor,"Robin Williams (1951–2014) was an American actor and comedian who throughout the course of his career won numerous awards, including an Academy Award for Best Supporting Actor for his role in ""Good Will Hunting"" (1997). He also won six Golden Globe Awards, including Best Actor – Motion Picture Musical or Comedy for his roles in ""Good Morning, Vietnam"" (1987), ""The Fisher King"" (1991) and ""Mrs. Doubtfire"" (1993), along with the Cecil B. DeMille award in 2005.
``Friend Like Me ''is a song from the 1992 Disney film Aladdin. It was performed by Robin Williams in his role as the Genie. The song was nominated for the Academy Award for Best Original Song at the 65th Academy Awards and the Golden Globe Award for Best Original Song at the 50th Golden Globe Awards in 1993.",Linda Ronstadt won Grammy.,Robin Williams received a nomination.,0,0
