question,golden_answer,context,our_answer_wo_context,our_answer_w_context
Pedology is the study of what?,High phosphorus and titanium; Organic soil; Plant-essential nutrients; Low phosphorus and titanium; Mineral soil; Soil; Parts of soil; Soils; Soil (pedology); Soil nutrient; Derelict soil; Earthen; Plant-essential nutrient; Pedolith,"Pedology Pedology (from Greek: πέδον, ""pedon"", ""soil""; and λόγος, ""logos"", ""study"") is the study of soils in their natural environment. It is one of two main branches of soil science, the other being edaphology. Pedology deals with pedogenesis, soil morphology, and soil classification, while edaphology studies the way soils influence plants, fungi, and other living things. Soil is not only a support for vegetation, but it is also the pedosphere, the locus of numerous interactions between climate (water, air, temperature), soil life (micro-organisms, plants, animals) and its residues, the mineral material of the original and added rock, and its position",Study of soil,Soils in their natural environment.
What term is given to three consecutive strikes in ten pin bowling,Turkey; Turkey (country); Türkiye Respublikasi; Turky; Turkei; A turkey; Tuerkiye Cumhuriyeti; Tuerkiye; Turquie; ISO 3166-1:TR; Turquia; TurkeY; Turkey (Country); Turkiye; Turkey (state); Terky; Republic of Turkey; Türkiye; Turkish Republic; Republic of Turkiye; Turkish republic; The Republic of Turkey; Turkey (nation); Türkiye Respublikası; Türkei; Tuerkei; Turkiye Cumhuriyeti; TURKEY; Republic of turkey; Etymology of Turkey; Turkie; Turkia; Türkiye Cumhuriyeti,"a ""rhino"". Some locations still call it a ""Hambone"" even though that term has been changed to mean four strikes in a row by announcers on television. (Four strikes in a row is also referred to as a ""Llama."") A double's pinfall is: Three strikes bowled consecutively are known as a ""turkey"" or ""triple"". A turkey's pinfall is: Three consecutive strike in the 10th frame is equal to 30 points Longer strings of strikes are called by various names, including ""-Bagger"" (Four Bagger), ""Llama"" (Four consecutive), and ""-Pack"" (Six Pack) depending on local use, equipment, and exposure to the sport.",Turkey,A turkey.
Which element has the highest melting point?,Carbon atom; Kohlenstoff; Carbon Atom; Carbons; Carbon atoms; Carbonaceous; Carbon unit; Carbonous; History of carbon; Carbon (element); Atomic number 6; C (element); Carbonic; Carbon,"of ice at 1 atmosphere of pressure is very close to ; this is also known as the ice point. In the presence of nucleating substances, the freezing point of water is not always the same as the melting point. In the absence of nucleators water can exist as a supercooled liquid down to −48.3 °C (−55 °F, 224.8 K) before freezing. The chemical element with the highest melting point is tungsten, at ; this property makes tungsten excellent for use as filaments in light bulbs. The often-cited carbon does not melt at ambient pressure but sublimes at about ;","Tungsten, 3422°C.",Tungsten.
"""The """"Pascal"""" is the SI Unit of what?""",Manometric unit; Absolute Pressure; Pressures; Feet sea water; Explosion pressure; Mm H2O; Fluids and pressure; Negative pressure (disambiguation); Cm H2O; Pressure; Liquid pressure; Fluid pressure; Deflagration pressure; Pressure units; Kinematic pressure; CmHg; Relative pressure; Negative pressure; Scientific physical pressure; Water pressure; Units of pressure; Manometric pressure unit; Pressure (physics); Unit of pressure; Gauge Pressure,"named after Blaise Pascal, noted for his contributions to hydrodynamics and hydrostatics, and experiments with a barometer. The name pascal was adopted for the SI unit newton per square metre (N/m) by the 14th General Conference on Weights and Measures in 1971. The pascal can be expressed using SI derived units, or alternatively solely SI base units, as: where N is the newton, m is the metre, kg is the kilogram, s is the second, and J is the joule. One pascal is the pressure exerted by a force of magnitude one newton perpendicularly upon an area of one square",Square meter.,Pressure.
By what name is Edson Arantes do Nascimento better known to his fans?,Pel; PEL; Pel (disambiguation); PEL (disambiguation),"Jânio Daniel do Nascimento Santos Jânio Daniel do Nascimento Santos, simply known as Jânio (born 3 July 1991), is a Brazilian professional footballer who plays for Parnahyba as a forward. Born in Parnaíba, Piauí, Jânio graduated from Coritiba's youth setup, and was subsequently loaned to CFZ-DF, São Carlos, Ferroviário, J. Malucelli, Parnahyba, and Junior Team. After scoring five goals with the latter, he returned to ""Coxa"" in September 2013. Jânio made his Coritiba – and Série A – debut on replacing Bill in a 0–3 away loss against Atlético Mineiro. He appeared in five matches during the campaign, as his",Pelé.,Pelé.
"""Sliced bread, advertised as """"the greatest forward step in the baking industry since bread was wrapped"""", was first sold when?""","1928; one thousand, nine hundred and twenty-eight","phrase """"the greatest thing since sliced bread"""" is a common hyperbole used to praise an invention or development. A writer for ""The Kansas City Star"" wrote that ""the phrase is the ultimate depiction of innovative achievement and American know-how."" In 1940, a form of bread consisting of two wrapped half-loaves was advertised as the ""greatest convenience since sliced bread"". Sliced bread Sliced bread is a loaf of bread that has been sliced with a machine and packaged for convenience. It was first sold in 1928, advertised as ""the greatest forward step in the baking industry since bread was wrapped"". This",1928,1928
What is the largest Spanish-speaking country by land area?,Arxintina; Argintina; Argentyna; آرژانتین; República Argentina; Land of silver; Argentina; ארגנטינה; Arghantina; Republica Argentina; Argentine republic; Аргентына; Nación Argentina; Argentinien; Nacion Argentina; Argie; アルゼンチン; Airgintín; Аржентина; Argentína; Argentine Republic; Argentīna; Argentinean; Argentiina; The Argentine Republic; Arxentina; Արգենտինա; Arc'hantina; Argies; Antonia Merce Y Luque; People of Argintina; ISO 3166-1:AR; Argentinië; אַרגענטינע; Arjantin; अर्जेन्टीना; الأرجنتين; Argentina Information; Republic of Argentina; Ariannin; Argentina Republic; Argentinie; Argentinia; Airgintin; Argjentina,"Ghosts in Spanish-speaking cultures There are many stories of ghosts in Spanish-speaking cultures. The Spanish language is second only in number of native speakers to Mandarin Chinese, the tongue of over 360 million people. Ghost stories exist throughout Spanish-speaking America and in Spain. In the Pampas, and particularly in Carro Quemado, the ghost of a colonel on horseback galloping in search of his soldiers killed by the Indians appears from time to time. In a dwelling in Neuquén in the Patagonia region of Argentina, there are sudden strange fires that the fire department is unable to explain, and in which",Argentina.,Argentina
"Which of the works of Gilbert and Sullivan, when first presented at the Savoy Theatre in 1887, was billed as 'A New and Original Supernatural Opera in Two Acts'?","Ruddigore; Ruddygore; RUDDIGORE; Ruddigore, The Witch's Curse; Rudigore","cantata. He informs Sullivan that, if he would get around to finishing ""The Golden Legend"", Queen Victoria will attend the premiere. Likewise, when Gilbert calls on Sullivan, he sees him rehearsing ""The Golden Legend"", as Bennett stands watch. When Bennett dozes off, Sullivan turns back to ""The Mikado"". After both works debut, Sullivan is knighted. The Queen inquires if he will write a grand opera. Just before the premiere of their next opera, ""Ruddigore"", Sullivan asks Gilbert to write the libretto for his first grand opera. Gilbert declines, stating that in such a work the words play second fiddle to",Iolanthe,I do not know.
What word best describes a triangle where all sides are different lengths?,Scalene (disambiguation); Scalene,"ticks. An equilateral triangle has the same pattern on all 3 sides, an isosceles triangle has the same pattern on just 2 sides, and a scalene triangle has different patterns on all sides since no sides are equal. Similarly, patterns of 1, 2, or 3 concentric arcs inside the angles are used to indicate equal angles. An equilateral triangle has the same pattern on all 3 angles, an isosceles triangle has the same pattern on just 2 angles, and a scalene triangle has different patterns on all angles since no angles are equal. Triangles can also be classified according to",Scalene triangle.,Scalene.
What letters of the modern basic Latin alphabet do not occur in the Turkish alphabet?,"Q, W and X","script that could be used for Turkish phonemes. Some suggested that a better alternative might be to modify the Arabic script to introduce extra characters to better represent Turkish vowels. In 1926, however, the Turkic republics of the Soviet Union adopted the Latin script, giving a major boost to reformers in Turkey. Turkish-speaking Armenians used the Mesrobian script to write Holy Bibles and other books in Turkish for centuries. Many Armenian linguists, including Agop Dilâçar comprised the linguistic team which invented the modern Turkish alphabet, using and modifying Latin script. The current 29-letter Turkish alphabet was established as a personal","K, W, Y, J","J, W, K, X, Y, Z"
Who played the title role in the 2015 film Macbeth?,Michael Faßbender; Michael Fassbender; MICHAEL FASSBENDER; Michael Fassbender filmography,"Macbeth (2015 film) Macbeth is a 2015 British-French film tragedy based on William Shakespeare's play of the same name. The film was directed by Justin Kurzel from a screenplay adapted by Jacob Koskoff, Todd Louiso, and Michael Lesslie. It stars Michael Fassbender in the title role and Marion Cotillard as Lady Macbeth. The film was theatrically released on 2 October 2015 in the United Kingdom and on 4 December 2015 in the United States. It was selected to compete for the Palme d'Or at the 2015 Cannes Film Festival and received generally positive reviews from film critics who praised Fassbender's",Michael Fassbender,Michael Fassbender.
An opah is what type of creature?,Fish proteins; Fin-fish; Fish vs fishes; Ichthyoid; Fish versus fishes; 🐟; Fish (Biology); Fishes or fish; Piscines; Fish or fishes; Fisshes; Fishes; Fishes versus fish; Fush; Sick fish; Fishbones; Pisces (zoology); Finfish; Marine fish; Fish (zoology); Ichthyes; Fish; Ichthyofauna; Inchthyic; Fish venoms,"Opah flesh has a light-pink to orange color, but turns white when cooked. It is popular in Hawaii, especially in restaurants. An average of 35% of an opah's weight is consumable, with the remaining 65% being bone and thick skin. The opah is the first fish discovered to have a warm heart, in May 2015. The opah can keep most of its body consistently at a temperature above the water temperature. Opahs are deeply keeled, compressed, discoid fish with conspicuous coloration: the body is a deep red-orange grading to rosy on the belly, with white spots covering the flanks. Both",Opah is a fish.,Fish.
What type of creature is a lumpsucker?,Fish proteins; Fin-fish; Fish vs fishes; Ichthyoid; Fish versus fishes; 🐟; Fish (Biology); Fishes or fish; Piscines; Fish or fishes; Fisshes; Fishes; Fishes versus fish; Fush; Sick fish; Fishbones; Pisces (zoology); Finfish; Marine fish; Fish (zoology); Ichthyes; Fish; Ichthyofauna; Inchthyic; Fish venoms,"Pacific spiny lumpsucker The Pacific spiny lumpsucker, scientific name Eumicrotremus orbis, is a species of bony fish in the Cyclopteridae family. The pacific spiny lumpsucker is a globular shaped fish that typically measures in length, with a maximum known length of around . The body of the fish is covered in cone-shaped plates, called tubercles. Females are dull green in color, while males are dull orange to reddish brown. The pacific spiny lumpsucker's anal fin has evolved into a large suction cup, allowing it to attach to surfaces. Pacific spiny lumpsuckers are most commonly found attached to solid objects and",Lumpsucker: Fish.,A fish.
By what name is Siddartha Guatama better known?,"Siddhattha Gotama; Buhda; Shakyamuni Gautama; The life of the Buddha; Gotama Buddha; Sakyamuni; Buddha and Vishnu; Shijiamounifo; Shakhyamuni; Sakayamuni; Shakamuni; The Budda; Siddhārtha Gautama; Buddha - God or Man; Buhhda; Thus-come-one; Budda; Phật; Siddhartha Gautam Buddha; The story of buddha; Buddah; Śākyamuni; Buddha Shakyamuni; Shakymuni Buddha; Siddhartha Gautama; Buddha; Shakyamuni Buddha; Recluse Gotama; BuddHa; Sidarta Guatema; Lord Buddha; Nepal buddha; Gautama; Enlightened One; Shijiamouni; बुद्ध; Gautama buddha; Gautam Buddha; Guatama; Enlightenment of Buddha; Birthplace of Gautama Buddha; Siddhartha Gotoma; Shaka Nyorai; Gautama Siddhartha; Sakyamuni Buddha; Enlightened one; The Enlightened One; Gautama Siddartha; Prince Siddhartha; Sage of the Shakyas; Shakyamuni; Siddartha Gautama; The Buddha; Буда; Siddharta Gautama; Buddha, the Enlightened; Gautama Buddha; Shijia Mouni; Buddha Gautama; Thus-gone-one; Siddharta Guatama; Gotama buddha; Gowthama Buddha; Siddhartha gotama; Butsu; Buddha – God or Man; Siddhartha Gautam; Shri Buddha; Awakened One; Śākyamuni Buddha; Goutham; Siddhartha Buddha; Sage of the Sakyas; The Awakened One; Siddhartha Gutama; Sakhyamuni Buddha; Siddhartha Guatama; Śakyamuni Buddha","(พระพุทธรัตนมงคลมหามุนี) means Together, the name is translated as the Great Guatama Buddha, the precious one who brings good wills to all. The term ""Luangpho Yai"" (หลวงพ่อใหญ่), by the way, does not refer to any specific Buddha statue. The name means Big Buddha, so it has been used to call any colossal Buddha statue. The same thing goes to the term ""Luangpho To"" (หลวงพ่อโต), which means exactly the same. Luangpho Yai Luangpho Yai (), also known as Phra Phutta Rattana Mongkhol Maha Munee (), and The Great Buddha of Roi Et, is the second-tallest statue in Thailand, and the twenty-seventh-tallest in",Buddha,The Great Guatama Buddha
"""Grammatically speaking, the phrase """"to boldly go"""" is a split __________""",English infinitive; Perfect infinitive; Progressive infinitive; Perfect continuous infinitive; To-infinitive; Infinitive clause; Passive infinitive; Continuous infinitive; Perfect progressive infinitive; Infinitive; False purpose; Full infinitive; Bare infinitive; To infinitive; Verb infinitive; Infinitives; Infinitival; Future infinitive; Infinitive phrase; Infinitive verb; Infinitive object; Compound infinitive; Infinitival clause,"notes that the option of rewriting is always available but questions whether it is always worth the trouble. Split infinitive In the English language, a split infinitive or cleft infinitive is a grammatical construction in which a word or phrase comes between the ""to"" and the bare infinitive of the ""to"" form of the infinitive verb. Usually an adverb or adverbial phrase comes between them. A well-known example occurs in the opening sequence of the ""Star Trek"" television series: ""to ""boldly"" go where no man has gone before""; the adverb ""boldly"" is said to split the infinitive ""to go"". Sometimes",infinitive phrase,infinitive
"What word, orginally meaning female slave in Greek, refers to a woman who gives support and help to a pregnant woman before, during and after childbirth?",Dula; Christian Doula; Doula; Doulas; Doolah,"to attend daily. The phrase ""gave them some broth without any bread"" may refer to George's parsimony in the wake of the South Sea Bubble of 1721, and his attempts to restore his own and the country's finances. Notes Citations Bibliography There was an Old Woman Who Lived in a Shoe ""There was an Old Woman Who Lived in a Shoe"" is a popular English language nursery rhyme, with a Roud Folk Song Index number of 19132. Debates over its meaning and origin have largely centered on attempts to match the old woman with historical female figures who have had",Doulas,"The word is ""midwife""."
Marke Rutte became Prime Minister of which European country in 2010?,"NETHERLANDS; The netherland; Nederlandia; Climate of the Netherlands; Administrative divisions of the netherlands; The Netheralands; Nyderlandai; Northern Netherlands; Holland (country); Administrative divisions of the Netherlands; The Netherlands; Netherlands; Pays-Bas; Netherlands, (Dut/Hol); ISO 3166-1:NL; Olanda; Netherlands/HistoryTalk; Capitals of Holland; Neatherlands; The netherlands; Dutch inhabitants; Netherlands, The; European Netherlands; Subdivisions of the Netherlands; Mainland Netherlands; Metropolitan Netherlands; Nehterlands; Netherlands (European territory)","election, the People's Party for Freedom and Democracy, already under Rutte, lost six seats, and he became Leader of the Opposition. At the following general election in 2010, the VVD won the highest number of votes cast, resulting in them occupying 31 of the 150 seats in the House of Representatives. After a long formation period, Rutte became Prime Minister and formed the First Rutte cabinet. When Rutte was sworn in on 14 October 2010, he became the first liberal Prime Minister of the Netherlands in 92 years. He offered his government's resignation on 23 April 2012, after an impasse","Mark Rutte, Netherlands, 2010.",The Netherlands.
"What gruesome animal behaviour term, refers to the undesirable loss of product sales when customers switch to a similar product offered by the same supplier?",Cannibalising; Cannibalized; Retail cannibalization; Cannibalise; Cannibal (film); Canabalise; Cannibalization; Cannibalisation; Cannibalizes; Cannibal (song); Cannibalises; Cannibalizing; Cannibal (disambiguation); Cannibalization (electronics),"further includes defining the scope of the product line, identifying potential markets for a product and determining optimal pricing. As mentioned, the core product directly affects customers' interest level. A company usually does research and development (R&D) before creating a new product. In order to meet customers' needs, the core product is an important element that attracts people to buy the firm's product. In an international marketing research conducted by the University of Southern California, it has been founded that customers and professionals usually emphasize on service characteristics such as heterogeneous products (variation in standards among providers, frequently even among",Churn.,Product substitution loss.
What is sake made from?,Polished rice(medical); Palay; IRRI-6 White Long Grain Rice; Grain of rice; Rice cultivation in Sri Lanka; Chaaval; Boro rice; Rice; Tjereh rice; Paddy (unmilled rice); Rice in Sri Lanka; Rlce; Aus rice; Rice in Asia; Rice farmer; Rice plant; Rice (crop); Rice cultivation; Rice gadu; Chawal; Vietnam Long Grain Rice; 🌾; PK-386 White Long Grain rice; IRRI-9 White Long Grain Rice; Buly rice; Grains of rice; Making rice; Simple rice; Plain cooked rice; Bhat (food); Rice farming,"The grain is larger, stronger, and contains less protein and lipid than the ordinary rice eaten by the Japanese. The rice has a starch component called ""shinpaku"" () in the center of the grains. Since sake made from rice containing only starch has a more commonly desired taste, the rice is polished to remove the bran. If a grain is small or weak, it will break in the process of polishing. Sake rice is used only for making sake, because it is unpalatable for eating. There are at least 80 types of sake rice in Japan. Among these, Yamadanishiki, Gohyakumangoku,","Rice, water, yeast.",Rice.
Who was the English archaeologist (1874-1939) noted as the primary discoverer of Tutankhamen's tomb?,Howard Carter (archaeologist); Howard Carter,"have been used where possible, including gold. The story line is based around the famous English archaeologist Howard Carter. The Exhibition reveals history from Carter's point of view as he entered the tomb in Valley of the Kings in November 1922. The ""Discovering Tutankhamun"" exhibition at the Ashmolean Museum in Oxford, England, was a temporary exhibition, open from July until November 2014, exploring Howard Carter’s excavation of the tomb of Tutankhamun in 1922. Original records, drawings and photographs from the Griffith Institute are on display. The complete records of the ten year excavation of the tomb of Tutankhamun were deposited",Howard Carter,Howard Carter.
Shark Tank is the US version of which reality TV series?,Dragons' Den (Ireland); Dragons Den; Dragons' Den Ireland; Die Hohle der Lowen; Die Höhle der Löwen; Dragons' Den; Lions' Den; Dragon's Den,"Shark Tank Shark Tank is an American reality television series that premiered on August 9, 2009, on ABC. The show is a franchise of the international format ""Dragons' Den"", which originated in Japan in 2001. ""Shark Tank"" shows aspiring entrepreneurs as they make business presentations to a panel of five ""shark"" investors, who then choose whether to invest as business partners. The series has been a ratings success in its time slot and has won the Primetime Emmy Award for Outstanding Structured Reality Program four times, from 2014 through 2017, in all four years of that category's existence. Prior to",Dragon's Den,"""Dragons' Den"""
"""What is the simple past tense of the verb """"swim""""?""",Swam; Swimming (disambiguation); To-suijutsu; Swimming,"Alas. ""Past Tense"" was Graded B by Cinema Evaluation Board. The film has received some negative critical reception. Philbert Ortiz Dy of ClickTheCity.com described his feeling watching the film as ""like a bunch of stray ideas stuck together"". While acknowledging ""Past Tense"" as having ""some interesting thinking"" in it, he wrote that this ""was tossed aside"" in favor of a basic romcom setup. ""Past Tense""'s direction is described by Dy as being bouncy which he says gives energy to the film and acknowledges that the cast gave everything they got. However he describes the core of the film as not",swam,I do not know.
Which 1969 Elvis Presley hit was also a hit for the group Fine Young Cannibals in 1985?,Suspicious Minds,"""The Tube"", recording contract offers flowed in immediately. The band's eponymous debut album was released in 1985, spawning two UK hit singles, ""Johnny Come Home"" and a cover of Elvis Presley's ""Suspicious Minds"" featuring additional vocals by Jimmy Somerville. These two songs also became hits internationally, charting in the top 40 in Europe, Canada and Australia, although they failed to make a significant impact on the US charts. Fine Young Cannibals appeared as the house band in a nightclub in the 1987 comedy film ""Tin Men"" and also contributed songs to the film's soundtrack. In the gap between their first",Suspicious Minds,I do not know.
