question,context,our_answer_wo_context,our_answer_w_context
Which ESPN channels are unavailable for Comcast?,"Comcast delivers third-party television programming content to its own customers, and also produces its own first-party content both for subscribers and customers of other competing television services. Fully or partially owned Comcast programming includes Comcast Newsmakers, Comcast Network, Comcast SportsNet, SportsNet New York, MLB Network, Comcast Sports Southeast/Charter Sports Southeast, NBC Sports Network, The Golf Channel, AZN Television, and FEARnet. On May 19, 2009, Disney and ESPN announced an agreement to allow Comcast Corporation to carry the channels ESPNU and ESPN3. The U.S. Olympic Committee and Comcast intended to team up to create The U.S. Olympic Network, which was slated to launch after the 2010 Vancouver Olympic Games. These plans were then put on hold by the U.S. Olympic Committee. The U.S. Olympic Committee and Comcast have ended the plans to create The U.S. Olympic Network.","ESPN Buzzer, ESPN Buzzer Extra, ESPN Goal Line, ESPN Goal Line Extra, ESPN Deportes, ESPN Deportes 2, ESPN Deportes U, ESPN Deportes+",None mentioned.
When does a diversity of magnoliids appear in the fossil record?,"The great angiosperm radiation, when a great diversity of angiosperms appears in the fossil record, occurred in the mid-Cretaceous (approximately 100 million years ago). However, a study in 2007 estimated that the division of the five most recent (the genus Ceratophyllum, the family Chloranthaceae, the eudicots, the magnoliids, and the monocots) of the eight main groups occurred around 140 million years ago. By the late Cretaceous, angiosperms appear to have dominated environments formerly occupied by ferns and cycadophytes, but large canopy-forming trees replaced conifers as the dominant trees only close to the end of the Cretaceous 66 million years ago or even later, at the beginning of the Tertiary. The radiation of herbaceous angiosperms occurred much later. Yet, many fossil plants recognizable as belonging to modern families (including beech, oak, maple, and magnolia) had already appeared by the late Cretaceous.",Magnoliids appear in fossil record 140 million years ago.,By the late Cretaceous.
What kind of planning was influenced by classical architecture?,"Neoclassicism also influenced city planning; the ancient Romans had used a consolidated scheme for city planning for both defence and civil convenience, however, the roots of this scheme go back to even older civilizations. At its most basic, the grid system of streets, a central forum with city services, two main slightly wider boulevards, and the occasional diagonal street were characteristic of the very logical and orderly Roman design. Ancient façades and building layouts were oriented to these city design patterns and they tended to work in proportion with the importance of public buildings.","Urban planning, city design.",City planning.
What can be measured in the atmosphere?,"Fluids cannot generally be pulled, so a vacuum cannot be created by suction. Suction can spread and dilute a vacuum by letting a higher pressure push fluids into it, but the vacuum has to be created first before suction can occur. The easiest way to create an artificial vacuum is to expand the volume of a container. For example, the diaphragm muscle expands the chest cavity, which causes the volume of the lungs to increase. This expansion reduces the pressure and creates a partial vacuum, which is soon filled by air pushed in by atmospheric pressure.","1. Temperature
2. Humidity
3. Pressure
4. Wind speed
5. Air quality
6. Ozone levels
7. CO2 levels
8. Aerosol particles
9. UV radiation
10. Noise pollution",Air pressure.
 What didn't evangelicals want to keep apart?,"Steven Waldman notes that; ""The evangelicals provided the political muscle for the efforts of Madison and Jefferson, not merely because they wanted to block official churches but because they wanted to keep the spiritual and secular worlds apart."" ""Religious freedom resulted from an alliance of unlikely partners,"" writes the historian Frank Lambert in his book The Founding Fathers and the Place of Religion in America. ""New Light evangelicals such as Isaac Bachus and John Leland joined forces with Deists and skeptics such as James Madison and Thomas Jefferson to fight for a complete separation of church and state.""",Slavery and states' rights.,The spiritual and secular worlds.
When was the colonial period?,"There are a number of radio news agencies based in Somalia. Established during the colonial period, Radio Mogadishu initially broadcast news items in both Somali and Italian. The station was modernized with Russian assistance following independence in 1960, and began offering home service in Somali, Amharic and Oromo. After closing down operations in the early 1990s due to the civil war, the station was officially re-opened in the early 2000s by the Transitional National Government. In the late 2000s, Radio Mogadishu also launched a complementary website of the same name, with news items in Somali, Arabic and English.",Colonial period: 1492-1776.,Late 19th or early 20th century.
What literary philosophical language was used in Greater India?,"Sanskrit (/ˈsænskrɪt/; Sanskrit: saṃskṛtam [səmskr̩t̪əm] or saṃskṛta, originally saṃskṛtā vāk, ""refined speech"") is the primary sacred language of Hinduism, a philosophical language in Buddhism, Hinduism, Sikhism and Jainism, and a literary language that was in use as a lingua franca in Greater India. It is a standardised dialect of Old Indo-Aryan, originating as Vedic Sanskrit and tracing its linguistic ancestry back to Proto-Indo-Iranian and Proto-Indo-European. Today it is listed as one of the 22 scheduled languages of India and is an official language of the state of Uttarakhand. As one of the oldest Indo-European languages for which substantial written documentation exists, Sanskrit holds a prominent position in Indo-European studies.",Sanskrit,Sanskrit.
What organization do airfields manage?,"The defence estate is divided as training areas & ranges (84.0%), research & development (5.4%), airfields (3.4%), barracks & camps (2.5%), storage & supply depots (1.6%), and other (3.0%). These are largely managed by the Defence Infrastructure Organisation.",Airfields manage airports.,The Defence Infrastructure Organisation.
"Which term meaning ""the mother book"" doesn't the Quran apply to itself?","The Quran describes itself as ""the discernment"" (al-furqān), ""the mother book"" (umm al-kitāb), ""the guide"" (huda), ""the wisdom"" (hikmah), ""the remembrance"" (dhikr) and ""the revelation"" (tanzīl; something sent down, signifying the descent of an object from a higher place to lower place). Another term is al-kitāb (The Book), though it is also used in the Arabic language for other scriptures, such as the Torah and the Gospels. The adjective of ""Quran"" has multiple transliterations including ""quranic"", ""koranic"", and ""qur'anic"", or capitalised as ""Qur'anic"", ""Koranic"", and ""Quranic"". The term mus'haf ('written work') is often used to refer to particular Quranic manuscripts but is also used in the Quran to identify earlier revealed books. Other transliterations of ""Quran"" include ""al-Coran"", ""Coran"", ""Kuran"", and ""al-Qurʼan"".",Kitab al-Umm,The Torah.
What had seven horns?,"""So he carried me away in the spirit into the wilderness: and I saw a woman sit upon a scarlet coloured beast, full of names of blasphemy, having seven heads and ten horns. ""And the woman was arrayed in purple and scarlet colour, and decked with gold and precious stones and pearls, having a golden cup in her hand full of abominations and filthiness of her fornication: ""And upon her forehead was a name written a mystery: Babylon the Great, the Mother of Harlots and of all the abominations of the earth: And I saw the woman drunken with the blood of the saints, and with the blood of the martyrs of Jesus.",Seven horns: Seven-headed dragon.,The beast had seven heads.
What rebellion began in South Mali?,"In January 2012 a Tuareg rebellion began in Northern Mali, led by the National Movement for the Liberation of Azawad. In March, military officer Amadou Sanogo seized power in a coup d'état, citing Touré's failures in quelling the rebellion, and leading to sanctions and an embargo by the Economic Community of West African States. The MNLA quickly took control of the north, declaring independence as Azawad. However, Islamist groups including Ansar Dine and Al-Qaeda in the Islamic Maghreb (AQIM), who had helped the MNLA defeat the government, turned on the Tuareg and took control of the North with the goal of implementing sharia in Mali.",Mopti Rebellion,I do not know.
In what year did Edward Heath become the British prime minister?,"In February 1974, the British Prime Minister, Edward Heath, advised the Queen to call a general election in the middle of her tour of the Austronesian Pacific Rim, requiring her to fly back to Britain. The election resulted in a hung parliament; Heath's Conservatives were not the largest party, but could stay in office if they formed a coalition with the Liberals. Heath only resigned when discussions on forming a coalition foundered, after which the Queen asked the Leader of the Opposition, Labour's Harold Wilson, to form a government.",1970,1974
What were blueware ceramics made from?,"Greenware ceramics made from celadon had been made in the area since the 3rd-century Jin dynasty, but it returned to prominence—particularly in Longquan—during the Southern Song and Yuan. Longquan greenware is characterized by a thick unctuous glaze of a particular bluish-green tint over an otherwise undecorated light-grey porcellaneous body that is delicately potted. Yuan Longquan celadons feature a thinner, greener glaze on increasingly large vessels with decoration and shapes derived from Middle Eastern ceramic and metalwares. These were produced in large quantities for the Chinese export trade to Southeast Asia, the Middle East, and (during the Ming) Europe. By the Ming, however, production was notably deficient in quality. It is in this period that the Longquan kilns declined, to be eventually replaced in popularity and ceramic production by the kilns of Jingdezhen in Jiangxi.",Blue and white ceramics.,I do not know.
When was CITES created?,"The Endangered Species Act of 1973 (ESA; 16 U.S.C. § 1531 et seq.) is one of the few dozens of United States environmental laws passed in the 1970s, and serves as the enacting legislation to carry out the provisions outlined in The Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES). The ESA was signed into law by President Richard Nixon on December 28, 1973, it was designed to protect critically imperiled species from extinction as a ""consequence of economic growth and development untempered by adequate concern and conservation."" The U.S. Supreme Court found that ""the plain intent of Congress in enacting"" the ESA ""was to halt and reverse the trend toward species extinction, whatever the cost."" The Act is administered by two federal agencies, the United States Fish and Wildlife Service (FWS) and the National Oceanic and Atmospheric Administration (NOAA).",CITES created 1973.,I do not know.
What did Feynman steal that help in understanding calculations between particles in space and time?,"He also developed Feynman diagrams, a bookkeeping device that helps in conceptualizing and calculating interactions between particles in spacetime, including the interactions between electrons and their antimatter counterparts, positrons. This device allowed him, and later others, to approach time reversibility and other fundamental processes. Feynman's mental picture for these diagrams started with the hard sphere approximation, and the interactions could be thought of as collisions at first. It was not until decades later that physicists thought of analyzing the nodes of the Feynman diagrams more closely. Feynman painted Feynman diagrams on the exterior of his van.",Feynman stole a safe.,I do not know.
What is one of the main foods eaten in Ethiopia?,"Additionally, owing to its colonial history, cuisine in Eritrea features more Italian influences than are present in Ethiopian cooking, including more pasta and greater use of curry powders and cumin.The Italian Eritrean cuisine started to be practiced during the colonial times of the Kingdom of Italy, when a large number of Italians moved to Eritrea. They brought the use of ""pasta"" to Italian Eritrea, and it is one of the main food eaten in present-day Asmara. An Italian Eritrean cuisine emerged, and dishes common dishes are 'Pasta al Sugo e Berbere', which means ""Pasta with tomato sauce and berbere"" (spice), but there are many more like ""lasagna"" and ""cotoletta alla milanese"" (milano cutlet). Alongside sowa, people in Eritrea also tend to drink coffee. Mies is another popular local alcoholic beverage, made out of honey.",Injera,I do not know.
In Cubism what was not architechtural interested base on?,"Architectural interest in Cubism centered on the dissolution and reconstitution of three-dimensional form, using simple geometric shapes, juxtaposed without the illusions of classical perspective. Diverse elements could be superimposed, made transparent or penetrate one another, while retaining their spatial relationships. Cubism had become an influential factor in the development of modern architecture from 1912 (La Maison Cubiste, by Raymond Duchamp-Villon and André Mare) onwards, developing in parallel with architects such as Peter Behrens and Walter Gropius, with the simplification of building design, the use of materials appropriate to industrial production, and the increased use of glass.",Geometric shapes.,Color.
What did Dell have a good reputation for?,"Dell's reputation for poor customer service, since 2002, which was exacerbated as it moved call centres offshore and as its growth outstripped its technical support infrastructure, came under increasing scrutiny on the Web. The original Dell model was known for high customer satisfaction when PCs sold for thousands but by the 2000s, the company could not justify that level of service when computers in the same lineup sold for hundreds. Rollins responded by shifting Dick Hunter from head of manufacturing to head of customer service. Hunter, who noted that Dell's DNA of cost-cutting ""got in the way,"" aimed to reduce call transfer times and have call center representatives resolve inquiries in one call. By 2006, Dell had spent $100 million in just a few months to improve on this, and rolled out DellConnect to answer customer inquiries more quickly. In July 2006, the company started its Direct2Dell blog, and then in February 2007, Michael Dell launched IdeaStorm.com, asking customers for advice including selling Linux computers and reducing the promotional ""bloatware"" on PCs. These initiatives did manage to cut the negative blog posts from 49% to 22%, as well as reduce the ""Dell Hell"" prominent on Internet search engines.",Dell was known for laptops.,High customer satisfaction.
Where does the Israeli appellate court sit?,"Israel's Supreme Court is at the head of the court system in the State of Israel. It is the highest judicial instance. The Supreme Court sits in Jerusalem. The area of its jurisdiction is the entire State. A ruling of the Supreme Court is binding upon every court, other than the Supreme Court itself. The Israeli supreme court is both an appellate court and the high court of justice. As an appellate court, the Supreme Court considers cases on appeal (both criminal and civil) on judgments and other decisions of the District Courts. It also considers appeals on judicial and quasi-judicial decisions of various kinds, such as matters relating to the legality of Knesset elections and disciplinary rulings of the Bar Association. As the High Court of Justice (Hebrew: Beit Mishpat Gavoha Le'Zedek בית משפט גבוה לצדק; also known by its initials as Bagatz בג""ץ), the Supreme Court rules as a court of first instance, primarily in matters regarding the legality of decisions of State authorities: Government decisions, those of local authorities and other bodies and persons performing public functions under the law, and direct challenges to the constitutionality of laws enacted by the Knesset. The court has broad discretionary authority to rule on matters in which it considers it necessary to grant relief in the interests of justice, and which are not within the jurisdiction of another court or tribunal. The High Court of Justice grants relief through orders such as injunction, mandamus and Habeas Corpus, as well as through declaratory judgments. The Supreme Court can also sit at a further hearing on its own judgment. In a matter on which the Supreme Court has ruled - whether as a court of appeals or as the High Court of Justice - with a panel of three or more justices, it may rule at a further hearing with a panel of a larger number of justices. A further hearing may be held if the Supreme Court makes a ruling inconsistent with a previous ruling or if the Court deems that the importance, difficulty or novelty of a ruling of the Court justifies such hearing. The Supreme Court also holds the unique power of being able to order ""trial de novo"" (a retrial).",Jerusalem.,District Courts.
 Lester Brown states that the market incorporates what?,"Lester Brown states that the market ""does not incorporate the indirect costs of providing goods or services into prices, it does not value nature's services adequately, and it does not respect the sustainable-yield thresholds of natural systems"". It also favors the near term over the long term, thereby showing limited concern for future generations. Tax and subsidy shifting can help overcome these problems, though is also problematic to combine different international normative regimes regulating this issue.",Lester Brown states that the market incorporates expectations.,The indirect costs of providing goods or services.
What war occurred after the end of War on Terror?,"The end of World War II set the stage for the East–West confrontation known as the Cold War. With the outbreak of the Korean War, concerns over the defense of Western Europe rose. Two corps, V and VII, were reactivated under Seventh United States Army in 1950 and American strength in Europe rose from one division to four. Hundreds of thousands of U.S. troops remained stationed in West Germany, with others in Belgium, the Netherlands and the United Kingdom, until the 1990s in anticipation of a possible Soviet attack.",Russian involvement in Ukraine.,I do not know.
 In what year did Edward Viii abdicate?,"The trip was intended to soften the strong isolationist tendencies among the North American public with regard to the developing tensions in Europe. Although the aim of the tour was mainly political, to shore up Atlantic support for the United Kingdom in any future war, the King and Queen were enthusiastically received by the public. The fear that George would be compared unfavourably to his predecessor, Edward VIII, was dispelled. They visited the 1939 New York World's Fair and stayed with President Franklin D. Roosevelt at the White House and at his private estate at Hyde Park, New York. A strong bond of friendship was forged between the King and Queen and the President during the tour, which had major significance in the relations between the United States and the United Kingdom through the ensuing war years.",Edward VIII abdicated 1936.,1936
What languages does Caucasus think are similar to Batumi?,"Eric P. Hamp in his 2012 Indo-European family tree, groups the Armenian language along with Greek and Ancient Macedonian (""Helleno-Macedonian"") in the Pontic Indo-European (also called Helleno-Armenian) subgroup. In Hamp's view the homeland of this subgroup is the northeast coast of the Black Sea and its hinterlands. He assumes that they migrated from there southeast through the Caucasus with the Armenians remaining after Batumi while the pre-Greeks proceeded westwards along the southern coast of the Black Sea.","Georgian, Svan, and Laz languages.",I do not know.
