question_id,question,reference,context,our_answer_wo_context,our_answer_w_context
5a8492ab5542992a431d1a5b,"Which plane has seen more combat, the Northrop F-15 Reporter or the Northrop P-61 Black Widow?",The Northrop P-61 Black Widow,"The Northrop P-61 Black Widow, named for the American spider, was the first operational U.S. warplane designed as a night fighter, and the first aircraft designed to use radar. The P-61 had a crew of three: pilot, gunner, and radar operator. It was armed with four 20 mm (.79 in) Hispano M2 forward-firing cannons mounted in the lower fuselage, and four .50 in (12.7 mm) M2 Browning machine guns mounted in a remote-controlled dorsal gun turret.
The Northrop F-15 Reporter (later RF-61) was an American unarmed photographic reconnaissance aircraft. Based on the Northrop P-61 Black Widow night fighter, it was the last piston-powered photo-reconnaissance aircraft designed and produced for the United States Air Force. Though produced in limited quantities, and with a relatively short service life, the F-15's aerial photographs of the Korean Peninsula would prove vital in 1950, when North Korea invaded the south.",The Northrop P-61 Black Widow.,The Northrop P-61 Black Widow.
5ab9b7d555429970cfb8eb7a,Which actor from the South Korean-Thai drama film Final Recipe debuted as a member of Super Junior-M in 2008?,Henry Lau,"Final Recipe is a 2013 South Korean-Thai drama film directed by Gina Kim and written by George Huang, who adapted a story by Kim. It stars Michelle Yeoh, Henry Lau, and Chin Han. Lau plays a young man who must impress the host of a cooking show (Yeoh) and her chef husband (Han) to save his grandfather's restaurant. It premiered at the San Sebastián International Film Festival.
Henry Lau (born October 11, 1989), known mononymously as Henry, is a Canadian singer, rapper, dancer, composer, record producer, beatboxer, actor and entertainer mostly active in South Korea. He debuted in 2008 as a member of Super Junior-M. Aside from group activities, he has also produce several songs for various artists, television drama and also a part of a composing team NoizeBank. He dubbed his fans as his Strings.",Lee Hyo-seok,Henry Lau.
5a76364d5542994ccc918719,"When was the anthology, in which fisrt pages of The Incal"" were released, created?",December 1974,"Métal hurlant (literal translation: ""Screaming Metal"") is a French comics anthology of science fiction and horror comics stories, created in December 1974 by comics artists Jean Giraud (better known as ""Mœbius"") and Philippe Druillet together with journalist-writer Jean-Pierre Dionnet and financial director Bernard Farkas.
The Incal (French: ""L'Incal"") is a French graphic novel series written by Alejandro Jodorowsky and originally illustrated by Jean Giraud. ""The Incal"", with first pages originally released as Une aventure de John Difool (""A John Difool Adventure"") in ""Métal hurlant"" and published by Les Humanoïdes Associés, introduced Jodorowsky's ""Jodoverse"" (or ""Metabarons Universe"" ), a fictional universe in which his science fiction comics take place. It is an epic space opera blending fantastical intergalactic voyage, science, technology, political intrigues, conspiracies, messianism, mysticism, poetry, debauchery, love stories, and satire. ""The Incal"" includes and expands the concepts and artwork from the abandoned film project ""Dune"" directed by Jodorowksy and designed by Giraud from the early 1970s.",The Incal anthology,1974.
5a90692f5542990a98493625,In what 1997 American mystery crime film did Johnny Galecki start in?,Suicide Kings,"Suicide Kings is a 1997 American mystery crime film based on Don Stanford's short story ""The Hostage"" and directed by Peter O'Fallon. It stars Christopher Walken, Denis Leary, Sean Patrick Flanery, Johnny Galecki, Jay Mohr, Jeremy Sisto and Henry Thomas. The film follows the group of criminals who kidnap a respected Mafia figure. It has a 34% approval rating on Rotten Tomatoes and grossed $1.7 million in the US.
John Mark Galecki (born April 30, 1975) is an American actor. He is known for playing David Healy in the ABC sitcom ""Roseanne"" from 1992 to 1997 and Dr. Leonard Hofstadter in the CBS sitcom ""The Big Bang Theory"" since 2007. Galecki also appeared in the films ""National Lampoon's Christmas Vacation"" (1989), ""Prancer"" (1989), ""Suicide Kings"" (1997), ""I Know What You Did Last Summer"" (1997), ""Bookies"" (2003), and ""In Time"" (2011).",I couldn't find any information about Johnny Galecki starring in a ,Suicide Kings.
5a7e22ed5542995ed0d166a7,"What writer is older, Bernard Malamud or Lois McMaster Bujold?",Bernard Malamud,"Bernard Malamud (April 26, 1914 – March 18, 1986) was an American novelist and short story writer. Along with Saul Bellow and Philip Roth, he was one of the best known American Jewish authors of the 20th century. His baseball novel, ""The Natural"", was adapted into a 1984 film starring Robert Redford. His 1966 novel ""The Fixer"" (also filmed), about antisemitism in Tsarist Russia, won both the National Book Award and the Pulitzer Prize.
Lois McMaster Bujold ( ; born November 2, 1949) is an American speculative fiction writer. She is one of the most acclaimed writers in her field, having won the Hugo Award for best novel four times, matching Robert A. Heinlein's record, not counting his Retro Hugo. Her novella ""The Mountains of Mourning"" won both the Hugo Award and Nebula Award. In the fantasy genre, ""The Curse of Chalion"" won the Mythopoeic Award for Adult Literature and was nominated for the 2002 World Fantasy Award for best novel, and both her fourth Hugo Award and second Nebula Award were for ""Paladin of Souls"". In 2011 she was awarded the Skylark Award. In 2013 she was awarded the Forry Award. In 2017 she won a Hugo Award for Best Series, for the Vorkosigan Saga.","Bernard Malamud (1914-1986)
Lois",Bernard Malamud is older.
5a8ac4dd5542992d82986f76,Which town near the county border with North Yorkshire was this Lancashire mill (closed in 1979 and demolished) located?,Barnoldswick,"Bancroft Shed was a weaving shed in Barnoldswick, Lancashire, England. It is situated on the road to Skipton, in Yorkshire was started in 1914 and commissioned in 1920 for James Nutter & Sons Limited. The mill closed in 1979 and was demolished. The engine house, chimneys and boilers were preserved and maintained as a working steam museum. The mill was the last steam driven weaving shed to be constructed and the last to close.
Barnoldswick (colloquially known as Barlick) is a town and civil parish in Lancashire, England. Near the county border with North Yorkshire, it is just outside the Yorkshire Dales National Park and the Forest of Bowland Area of Outstanding Natural Beauty. The town is built in the shadow of Weets Hill, and Stock Beck, a tributary of the River Ribble, runs through the town. It has a population of 11,005.",I'm ready to assist. What is the question?,Barnoldswick.
5ac05c245542992a796dece5,Glad to Be Unhappy is a song composed by what American?,Richard Charles Rodgers,"""Glad to Be Unhappy"" is a popular song composed by Richard Rodgers, with lyrics by Lorenz Hart. It was introduced in their 1936 musical ""On Your Toes"" by Doris Carson and David Morris, although it was not popular at the time, as there was only one 1936 recording of the tune. In the 1937 London production, it was sung by Gina Malo and Eddie Pola. The song was performed in the 1954 Broadway revival by Kay Coulter and Joshua Shelley.
Richard Charles Rodgers (June 28, 1902 – December 30, 1979) was an American composer of music for more than 900 songs and for 43 Broadway musicals. He also composed music for films and television. He is best known for his songwriting partnerships with the lyricists Lorenz Hart and Oscar Hammerstein II. His compositions have had a significant impact on popular music up to the present day, and have an enduring broad appeal.","I couldn't find any information about the song ""Glad to Be",Richard Charles Rodgers.
5a8a03245542992e4fca84d5,What profession does Spice Girls discography and Emma Bunton have in common?,singer,"English girl group Spice Girls has released three studio albums, one compilation album, 11 singles and 18 music videos. Formed in 1994, the group was made up of singers Victoria Beckham (""Posh Spice""), Geri Halliwell (""Ginger Spice""), Emma Bunton (""Baby Spice""), Melanie Brown (""Scary Spice"") and Melanie Chisholm (""Sporty Spice"").
Emma Lee Bunton (born 21 January 1976) is an English singer, songwriter, actress, and radio and television presenter. She is best known as a member of the girl group the Spice Girls formed in the 1990s, and in which Bunton was nicknamed Baby Spice. In 2009, she began as a radio presenter on the Heart Breakfast show in London with Jamie Theakston and presenting her own show on Saturday between 5 and 7 p.m.",Singer,Radio presenter.
5aba5e2555429955dce3edf1,Where does Yannick Ferreira Carrasco play home games?,Wanda Metropolitano,"Yannick Ferreira Carrasco (born 4 September 1993) is a Belgian professional footballer who plays as a winger for Spanish club Atlético Madrid and the Belgium national team.
Club Atlético de Madrid, SAD (] ), commonly known as Atlético Madrid, or simply as Atlético or Atleti, is a Spanish professional football club based in Madrid, that plays in La Liga. The club play their home games at the Wanda Metropolitano, which has a capacity of 68,000.",Real Sociedad,The Wanda Metropolitano.
5adc9b7a5542994d58a2f679,Shani Gandi has worked with Kelsea Ballerini in what country?,American,"Kelsea Nicole Ballerini (born September 12, 1993) is an American country pop singer and songwriter. She is signed to Black River Entertainment, and released her first album ""The First Time"" in 2015. She received a nomination for Best New Artist at the 2017 Grammy Awards.
Shani Gandhi is an Australian music producer/engineer based in Nashville, Tennessee. A native of Perth, she moved to Ithaca, New York in 2007, to pursue a Bachelor of Music degree at Ithaca College. Her career in Nashville has paired her with such producers as Gary Paczosa, Michael Wagener, Neal Cappellino, and Marshall Altman. Gandhi has engineered and mixed albums for the likes of Alison Krauss & Union Station, George Jones & The Smoky Mountain Boys, Kelsea Ballerini, Sarah Jarosz, and Parker Millsap.",I couldn't find any information about Shani Gandi working with K,"Nashville, Tennessee."
5adefcf15542995ec70e8f4c,What position does the First Vice Captain of Juventus play?,centre-back,"Giorgio Chiellini (] ; born 14 August 1984) is an Italian professional footballer who plays as a defender for Serie A club Juventus and the Italian national team. A physically strong, aggressive, and versatile defender, although he is usually deployed as a centre-back, he is also capable of playing as a left-back, both in a three or four-man defence.
Claudio Marchisio (] ; born 19 January 1986) is an Italian professional footballer who plays as a midfielder for Juventus and the Italian national team. A product of the Juventus youth system, he has spent his whole career thus far at his hometown club, with the exception of a season-long loan spell at Empoli, winning six consecutive Serie A titles. He is currently the club's second vice-captain, behind Giorgio Chiellini.",I couldn't find information on the specific position of the First Vice Captain,Defender.
5a8c5569554299240d9c2126,Are Daryl Hall and Gerry Marsden both musicians?,yes,"Gerard Marsden MBE (born 24 September 1942) is an English musician and television personality, best known for being leader of the British Merseybeat band Gerry and the Pacemakers.
Daryl Franklin Hohl (born October 11, 1946), known professionally as Daryl Hall, is an American rock, R&B, and soul singer; keyboardist, guitarist, songwriter, and producer, best known as the co-founder and lead vocalist of Hall & Oates (with guitarist and songwriter John Oates).","Daryl Hall is a musician.
Gerry Marsden is a musician",Yes.
5ab3952e5542992ade7c6de8,On what day of the week did the eleventh season's finale of American Dad air?,Sunday,"""Blagsnarst, a Love Story"" is the third episode and season finale of the eleventh season of ""American Dad!"" The episode aired on September 21, 2014, and is the final show to air on Fox's Animation Domination lineup, as well as the final episode of the series to be aired on Fox as the show moved to TBS from the twelfth season onwards, which started a month later in October 2014. The episode was written by Wes Lukey and directed by series regular Chris Bennett.
Animation Domination was an animated programming block which originally aired from May 1, 2005, until September 21, 2014, on the Fox network. The block aired on Sunday evenings through the entirety of that night's primetime schedule (unless preempted, usually by sports telecasts).","I need more information. What is the show ""American Dad"" and",Sunday.
5abbdb195542993f40c73bf1,"Which is larger, Garajonay National Park or Guadarrama National Park?",Sierra de Guadarrama National Park,"Garajonay National Park (Spanish: ""Parque nacional de Garajonay"" , ] ) is located in the center and north of the island of La Gomera, one of the Canary Islands (Spain). It was declared a national park in 1981 and a World Heritage Site by UNESCO in 1986. It occupies 40 km (15 sq mi) and it extends into each of the six municipalities on the island.
Sierra de Guadarrama National Park (in Spanish: ""Parque Nacional de la Sierra de Guadarrama"") is a national park in Spain, covering nearly 34,000 hectares, the fifth largest in Spain's national parks system. The Guadarrama mountain range (""Sistema Central"") contains some ecologically valuable areas, located in the Community of Madrid and Castile and León (provinces of Segovia and Ávila). The law that regulates the recently approved national park was published in the BOE in  26, 2013 (2013--) .",Garajonay is larger.,Guadarrama National Park.
5ae2c8b05542992decbdcd9d,What is the birthplace of YouTube's 2016 overview featured creator Wengie?,"Guangzhou, China","YouTube Rewind is a video series produced and created by YouTube and Portal A Interactive. These videos are an overview and recap of each year's viral videos, events, memes, and music. Each year, the number of YouTube celebrities featured in the video, as well as the presentation of the series, have increased. The latest episode of ""YouTube Rewind"" was released on December 8, 2016.
Wendy Ayche (born January 9 1986) known professionally as Wengie, is an Australian YouTube personality and vlogger. She was born in Guangzhou, China. She got the nickname ""Wengie"" at a dance class when two people gave her a nickname inspired by her Chinese name, Wén Jié. Since starting her channel on February 11 2013, her videos have received over 281 million views, and her channel has accumulated over 11 followers In the January 2016 edition of ""ElleGirl Japan"", she was nominated as a channel to watch. In August 2016, she was ranked the 5th Fastest growing channel in the world. Ayche was featured in the annual YouTube Rewind in 2016 and was also singled out by Google as one of the top beauty creators in the Asia region. Ayche reached 5 million YouTube subscribers in January 2017, and her channel is currently in the 12th most subscribed How-To & Style Channel on YouTube. She is also currently a board member of the Internet Creators Guild, a non-profit focused on providing the protection, representation and guidance to online creators. Her YouTube channel also recently got awarded with ""Best Channel"" as well as ""Overall Winner"" for the Australian Online Video Awards.",I couldn't find any information about a YouTube creator named Wengie,"Guangzhou, China."
5a8f64e0554299458435d60b,"Which documentary film was released first, Chicken Ranch or The End of Suburbia?",Chicken Ranch,"Chicken Ranch is a 1983 documentary film by Nick Broomfield about the famous legalised brothel, the Chicken Ranch, in Pahrump, Nevada. Photographed by Sandi Sissel.
The End of Suburbia: Oil Depletion and the Collapse of The American Dream is a 2004 documentary film concerning peak oil and its implications for the suburban lifestyle, written and directed by Toronto-based filmmaker Gregory Greene.","Chicken Ranch (2000) 
The End of Suburbia (",Chicken Ranch (1983)
5ab32fc355429969a97a80fa,Was Vanderbilt University or Emory University founded first?,Emory University.,"Vanderbilt University (also known informally as Vandy) is a private research university located in Nashville, Tennessee. Founded in 1873, it was named in honor of shipping and rail magnate Cornelius Vanderbilt, who provided the school its initial $1 million endowment despite having never been to the South. Vanderbilt hoped that his gift and the greater work of the university would help to heal the sectional wounds inflicted by the Civil War.
Emory University is a private research university in metropolitan Atlanta, located in the Druid Hills section of DeKalb County, Georgia, United States. The university was founded as Emory College in 1836 in Oxford, Georgia by the Methodist Episcopal Church and was named in honor of Methodist bishop John Emory. In 1915, the college relocated to metropolitan Atlanta and was rechartered as Emory University. The university is the second-oldest private institution of higher education in Georgia and among the fifty oldest private universities in the United States. Emory is frequently cited as one of the world's leading research universities and one of the top institutions in the United States.",Vanderbilt University (founded in 1873),Emory University.
5abaf0e055429966062416a3,"In which period was this German composer, pianist, organist and conductor born in 1847 active, whose work ""Wedding March"" became reference to any ""wedding march?""",early Romantic period,"The ""Bridal Chorus"" (German: ""Treulich geführt"" ) from the 1850 opera ""Lohengrin"" by German composer Richard Wagner is a march played for the bride's entrance at many formal weddings throughout the Western world. In English-speaking countries it is generally known as ""Here Comes the Bride"" or ""Wedding March"", though ""wedding march"" refers to any piece in march tempo accompanying the entrance or exit of the bride, notably Felix Mendelssohn's ""Wedding March"". The piece was made popular when it was used as the processional at the wedding of Victoria the Princess Royal to Prince Frederick William of Prussia in 1858.
Jakob Ludwig Felix Mendelssohn Bartholdy (] ; 3 February 1809 4 November 1847), born and widely known as Felix Mendelssohn, was a German composer, pianist, organist and conductor of the early Romantic period.",Felix Mendelssohn,Early Romantic period.
5ae4890a5542995ad6573d60,In what field does the firm at which Claudio Fernández-Aráoz was a currently a senior adviser offers services?,"Executive Search, Board Consulting","Egon Zehnder is a global executive search firm. Egon Zehnder is the world's third largest executive search and talent strategy firm. The firm offers services and expertise in the fields of Executive Search, Board Consulting and Leadership Strategy Services.
Claudio Fernández-Aráoz is an Argentinian author, international speaker and global expert on talent and leadership, ranked by ""BusinessWeek"" as one of the most influential executive search consultants in the world. He is currently a senior adviser of Egon Zehnder. Before joining Egon Zehnder in 1986, he worked at McKinsey & Company in Europe. He is a frequent lecturer at the Harvard Business School.",Global Strategy Group,"Executive Search, Board Consulting, Leadership Strategy Services."
5a73aeb855429908901be311,Who is a guest in the final two episodes of season eighteen of South Park?,PewDiePie,"""#REHASH"" is the ninth episode in the eighteenth season of the American animated television series ""South Park"". The 256th overall episode, it was written and directed by series co-creator and co-star Trey Parker. The episode premiered on Comedy Central in the United States on December 3, 2014. The episode is part one of the two-part season finale. The episode lampoons the popularity of Internet Let's Play celebrities and the phenomena of Internet trending topics that lack actual relevance. The episode also references and intertwined multiple elements from previous episodes in the eighteenth season of ""South Park"". YouTube celebrity PewDiePie plays himself in this episode.
""#HappyHolograms"" is the tenth and final episode in the eighteenth season of the American animated television series ""South Park"". The 257th episode overall, it was written and directed by series co-creator and co-star Trey Parker. The episode premiered on Comedy Central in the United States on December 10 2014. It is the second part of the two-part season finale which began with the previous episode, ""#REHASH"". The episode makes multiple references to earlier episodes over the season, as well as to previous seasons, while mainly lampooning the trend of culture constantly making trending topics with no actual relevance. It also lampoons news events such as the death of Eric Garner, the shooting of Michael Brown, the sexual assault allegations against Bill Cosby, and the use of celebrity holograms. YouTube celebrity PewDiePie appeared as himself, continuing his story line from the previous episode.",I'm not aware of the specific guest in the final two episodes of,PewDiePie
5ae5f1a8554299546bf82fd9,Where is the English punk rock band which Howard Devoto is the original singer of formed,in Bolton,"Jerky Versions of the Dream is the only solo album recorded by Howard Devoto, the original singer of Buzzcocks and Magazine. It was his only studio album, which was released at the time with two singles, ""Cold Imagination"" and ""Rainy Season"", being a short-lived solo career for Devoto, who in 1986, went to form a band alongside guitarist Noko, which later was named Luxuria.
Buzzcocks are an English punk rock band, formed in Bolton, England in 1976 by singer-songwriter-guitarist Pete Shelley and singer-songwriter Howard Devoto. They are regarded as an important influence on the Manchester music scene, the independent record label movement, punk rock, power pop, and indie rock. They achieved commercial success with singles that fused pop craftsmanship with rapid-fire punk energy. These singles were collected on ""Singles Going Steady"", described by critic Ned Raggett as a ""punk masterpiece"".",Mott the Hoople,"Bolton, England."
5a8f6a025542992414482ab8,The series in which Sharon Gless played Debbie Novotny was developed and written by who?,Ron Cowen and Daniel Lipman,"Queer as Folk is an American-Canadian drama television series. The series ran between December 3, 2000 to August 7, 2005 and was produced for Showtime and Showcase by Cowlip Productions, Tony Jonas Productions, Temple Street Productions and Showtime Networks in association with Crowe Entertainment. It was developed and written by Ron Cowen and Daniel Lipman, who were the showrunners, and also the executive producers along with Tony Jonas, former President of Warner Bros. Television.
Sharon Marguerite Gless (born May 31, 1943) is an American actress of stage, film and television, who is known for her television roles as Maggie Philbin on ""Switch"" (1975–78), Sgt. Christine Cagney in the police procedural drama series ""Cagney & Lacey"" (1982–88), the title role in ""The Trials of Rosie O'Neill"" (1990–92), as Debbie Novotny in the Showtime cable television series ""Queer as Folk"" (2000–2005), and as Madeline Westen on ""Burn Notice"" (2007–2013).",Cagney & Lacey,Ron Cowen and Daniel Lipman.
5abee70a5542994516f45476,"What role did Anne Innes-Ker, Duchess of Roxburghe (daughter of the 7th Duke of Marlborough) serve to Queen Victoria?",Mistress of the Robes,"Anne Emily Innes-Ker, Duchess of Roxburghe {'1': "", '2': "", '3': "", '4': ""} (""née"" Spencer-Churchill; 14 November 1854 – 20 June 1923) was the daughter of the 7th Duke of Marlborough, who served in Conservative governments as Lord President of the Council and Lord Lieutenant of Ireland. She served as Mistress of the Robes to Queen Victoria.
John Winston Spencer-Churchill, 7th Duke of Marlborough (2 June 1822 – 4 July 1883), styled Earl of Sunderland from 1822 to 1840 and Marquess of Blandford from 1840 to 1857, was a British Conservative cabinet minister, politician, and nobleman. He was the paternal grandfather of Prime Minister Sir Winston Churchill.","I couldn't find any information about an Anne Innes-Ker,",Mistress of the Robes.
5a73987c55429978a71e9039,Which production company was involved with both of the movies A Kid in King Arthur's Court and The Great Locomotive Chase?,Walt Disney Productions,"The Great Locomotive Chase is a 1956 Walt Disney Productions CinemaScope adventure film based on the real Great Locomotive Chase that occurred in 1862 during the American Civil War. The film stars Fess Parker as James J. Andrews, the leader of a group of Union soldiers from various Ohio regiments who volunteered to go behind Confederate lines in civilian clothes, steal a Confederate train north of Atlanta, and drive it back to Union lines in Tennessee, tearing up railroad tracks and destroying bridges and telegraph lines along the way.
A Kid in King Arthur's Court is a 1995 Disney family film directed by Michael Gottlieb. It is based on the famous Mark Twain novel ""A Connecticut Yankee in King Arthur's Court"" (previously filmed by Disney as ""Unidentified Flying Oddball"" in 1978 in which Ron Moody also played Merlin), transplanted into the twentieth century. Trimark later released a sequel, ""A Kid in Aladdin's Palace"", in 1998, but without Disney's involvement. Since Trimark's dissolution, the sequel is now distributed by Lions Gate Entertainment.",Universal Pictures,Disney Productions.
